company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
Astra,"SF Bay Area",Aerospace,NULL,0.16,2022-08-11,Post-IPO,"United States",300
Astra,"SF Bay Area",Aerospace,40,0.25,2020-05-04,Unknown,"United States",100
Astronomer,Cincinnati,Data,76,0.2,2023-04-01,"Series C","United States",282
"Atlanta Tech Village",Atlanta,"Real Estate",NULL,0.5,2020-02-04,Unknown,"United States",NULL
"Atlas Obscura","New York City",Media,15,NULL,2020-06-18,"Series B","United States",32
Atlassian,Sydney,Other,500,0.05,2023-06-03,Post-IPO,Australia,210
AtoB,"SF Bay Area",Finance,32,0.3,2022-10-19,"Series B","United States",177
Atsu,Seattle,Infrastructure,6,1,2020-10-04,Unknown,"United States",1
Attentive,"New York City",Marketing,NULL,0.15,2023-05-01,"Series E","United States",863
AU10TIX,"Tel Aviv",Security,19,0.09,2023-01-31,Unknown,Israel,80
Augury,"New York City",Manufacturing,20,0.05,2023-04-01,"Series E","United States",274
Aura,Boston,Security,70,0.09,2022-06-23,"Series F","United States",500
"Aura Financial","SF Bay Area",Finance,NULL,1,2021-11-01,Unknown,"United States",584
Autodesk,"SF Bay Area",Other,250,0.02,2023-02-02,Post-IPO,"United States",NULL
Automatic,"SF Bay Area",Transportation,NULL,1,2020-01-05,Acquired,"United States",24
"Automation Anywhere","SF Bay Area",Other,260,0.1,2020-04-27,"Series B","United States",840
Automox,Boulder,Infrastructure,NULL,0.11,2022-04-18,"Series C","United States",152
"Avantage Entertainment",Minneapolis,Media,5,0.2,2020-03-04,Unknown,"United States",NULL
AvantStay,"Los Angeles",Travel,80,NULL,2022-06-29,Unknown,"United States",811
AvantStay,"Los Angeles",Travel,144,0.22,2022-09-11,"Private Equity","United States",686
Avast,Phoenix,Security,NULL,0.25,2022-10-11,Unknown,"United States",NULL
Avo,"Tel Aviv",Food,500,0.67,2022-01-05,"Series B",Israel,45
Away,"New York City",Retail,60,0.1,2020-07-04,"Series D","United States",181
Awok,Dubai,Retail,NULL,1,2020-02-09,"Series A","United Arab Emirates",30
Aya,Toronto,Finance,5,0.25,2020-11-19,Seed,"United States",3
B8ta,"SF Bay Area",Retail,250,0.5,2020-03-26,"Series C","United States",88
Babylon,London,Healthcare,100,NULL,2022-12-07,Post-IPO,"United Kingdom",1100
"Back Market",Paris,Retail,93,0.13,2022-12-23,"Series E",France,1000
Bakkt,Atlanta,crypto,NULL,0.15,2022-08-12,Post-IPO,"United States",932
"Bally's Interactive",Providence,NULL,NULL,0.15,2023-01-18,Post-IPO,"United States",946
Balto,"St. Louis",Sales,30,NULL,2022-06-22,"Series B","United States",51
Balto,"St. Louis",Sales,35,NULL,2022-12-12,"Series B","United States",51
"Bamboo Health",Louisville,Healthcare,52,NULL,2022-01-07,Unknown,"United States",NULL
Banxa,Melbourne,crypto,70,0.3,2022-06-27,Post-IPO,Australia,13
Baraja,Sydney,Transportation,NULL,0.75,2023-08-02,Unknown,Australia,63
Bark,"New York City",Retail,126,0.12,2023-09-02,Post-IPO,"United States",NULL
Baton,"SF Bay Area",Transportation,16,0.25,2022-06-29,"Series A","United States",13
"Beam Benefits",Columbus,Healthcare,31,0.08,2023-08-02,"Series E","United States",168
Beamery,London,HR,NULL,0.12,2023-10-01,"Series D","United States",223
BeeTech,"Sao Paulo",Finance,30,NULL,2020-10-04,"Series B",Brazil,14
Bench,Vancouver,Finance,47,0.1,2020-03-27,"Series B",Canada,49
Benevity,Calgary,Other,137,0.14,2023-01-18,Unknown,Canada,69
"Benitago Group","New York City",Retail,NULL,0.14,2022-04-11,"Series A","United States",380
"Berkeley Lights","SF Bay Area",Healthcare,NULL,0.12,2022-09-08,Post-IPO,"United States",272
"Berlin Brands Group",Berlin,Retail,100,0.1,2022-10-06,Unknown,Germany,1000
Bestow,Dallas,Finance,41,0.14,2022-06-24,"Series C","United States",137
Better.com,"New York City","Real Estate",900,0.09,2021-01-12,Unknown,"United States",905
Better.com,"New York City","Real Estate",3000,0.33,2022-08-03,Unknown,"United States",905
Betterfly,Santiago,Healthcare,NULL,0.3,2023-01-18,"Series C",Chile,204
Betterfly,Santiago,Healthcare,30,NULL,2022-11-08,"Series C",Chile,204
Betterment,"New York City",Finance,28,NULL,2023-02-15,"Series F","United States",435
Bevi,Boston,Food,30,0.2,2020-03-27,"Series C","United States",60
"Beyond Meat","Los Angeles",Food,40,NULL,2022-03-08,Post-IPO,"United States",122
"Beyond Meat","Los Angeles",Food,200,0.19,2022-10-14,Post-IPO,"United States",122
BeyondMinds,"Tel Aviv",Data,65,1,2022-05-23,"Series A",Israel,16
BharatAgri,Mumbai,Food,40,0.43,2023-01-15,"Series A",India,21
"Big Fish Games",Seattle,Media,250,NULL,2020-01-09,Acquired,"United States",95
BigBear.ai,Baltimore,Data,NULL,0.07,2022-08-09,Post-IPO,"United States",200
BigCommerce,Austin,Retail,180,0.13,2022-12-15,Post-IPO,"United States",224
Bilibili,Shanghai,Media,NULL,0.3,2022-12-27,Post-IPO,China,3700
BioMarin,"SF Bay Area",Healthcare,120,0.04,2022-07-10,Post-IPO,"United States",585
Bird,"Los Angeles",Transportation,138,0.23,2022-07-06,Post-IPO,"United States",783
Bird,"Los Angeles",Transportation,406,0.3,2020-03-27,"Series D","United States",623
Bitfront,"SF Bay Area",crypto,NULL,1,2022-11-29,Unknown,"United States",NULL
BitGo,"SF Bay Area",crypto,NULL,0.12,2020-04-17,"Series B","United States",69
BitMEX,Non-U.S.,crypto,NULL,0.3,2022-02-11,Seed,Seychelles,0
BitMEX,Non-U.S.,crypto,75,0.25,2022-04-04,Seed,Seychelles,0
BitOasis,Dubai,crypto,9,0.05,2022-06-19,"Series B","United Arab Emirates",30
Bitpanda,Vienna,crypto,270,0.27,2022-06-24,"Series C",Austria,546
Bitrise,Budapest,Infrastructure,NULL,0.14,2022-09-14,"Series C",Hungary,83
BitSight,"Tel Aviv",Security,40,NULL,2023-02-26,Unknown,Israel,401
Bitso,"Mexico City",crypto,80,0.11,2022-05-26,"Series C",Mexico,378
Bitso,"Mexico City",crypto,100,NULL,2022-11-29,"Series C",Mexico,378
BitTitan,Seattle,Data,70,0.27,2021-11-18,Acquired,"United States",46
BitTorrent,"SF Bay Area",Infrastructure,92,NULL,2023-01-20,Acquired,"United States",NULL
Bittrex,Seattle,crypto,80,NULL,2023-02-02,Unknown,"United States",NULL
Bizongo,Mumbai,Logistics,140,NULL,2020-10-07,"Series C",India,70
Bizpay,Sydney,Finance,NULL,0.3,2022-04-05,Unknown,Australia,45
Bizzabo,"New York City",Marketing,100,0.37,2022-01-12,"Series E","United States",194
Bizzabo,"New York City",Marketing,120,0.3,2022-05-07,"Series E","United States",194
"Black Shark",Shenzen,Hardware,900,NULL,2023-01-13,Unknown,China,NULL
Blackbaud,Charleston,Other,500,0.14,NULL,Post-IPO,"United States",NULL
BlackBuck,Bengaluru,Logistics,200,NULL,2020-04-17,"Series D",India,293
BlackLine,"Los Angeles",Finance,95,0.05,2022-08-12,"Private Equity","United States",220
"Bleacher Report",London,Media,20,NULL,2020-11-09,Acquired,"United Kingdom",41
Blend,"SF Bay Area",Finance,100,0.06,2022-10-11,Post-IPO,"United States",665
Blend,"SF Bay Area",Finance,200,0.1,2022-04-19,Post-IPO,"United States",665
Blend,"SF Bay Area",Finance,220,0.12,2022-08-15,Post-IPO,"United States",665
Blend,"SF Bay Area",Finance,340,0.28,2023-10-01,Post-IPO,"United States",665
Blockchain.com,London,crypto,110,0.28,2023-12-01,"Series D","United Kingdom",490
Blockchain.com,London,crypto,150,0.25,2022-07-21,"Series D","United Kingdom",490
BlockFi,"New York City",crypto,NULL,1,2022-11-28,"Series E","United States",1000
BlockFi,"New York City",crypto,250,0.2,2022-06-13,"Series E","United States",1000
BloomTech,"SF Bay Area",Education,88,0.5,2022-01-12,Unknown,"United States",NULL
"Blue Apron","New York City",Food,NULL,0.1,2022-08-12,Post-IPO,"United States",352
